gene,HR,95% CI,p.value
ENSG00000132510,21.5,(1.3-360),0.0332
ENSG00000004487,3.21,(1-10),0.0445
ENSG00000136003,0.235,(0.073-0.76),0.0154
ENSG00000205726,0.145,(0.023-0.94),0.0427
ENSG00000049449,4.59,(1.6-13),0.00553
ENSG00000164300,0.461,(0.23-0.93),0.0295
ENSG00000177469,0.468,(0.22-0.98),0.0426
ENSG00000119729,0.333,(0.13-0.84),0.0199
ENSG00000100387,5.59,(1.4-22),0.015
ENSG00000137642,0.263,(0.099-0.7),0.00712
ENSG00000173473,7.31,(2.5-21),0.000244
ENSG00000170876,8.57,(1.9-39),0.00568
ENSG00000092201,4.58,(1-21),0.0474
ENSG00000143774,4.26,(1.3-14),0.0164
ENSG00000157110,0.405,(0.21-0.76),0.00527
ENSG00000139718,0.0917,(0.017-0.51),0.00631
ENSG00000132002,2.08,(1-4.1),0.0358
ENSG00000172493,0.215,(0.069-0.67),0.00791
ENSG00000226467,25.3,(2.8-230),0.00417
ENSG00000236873,25.3,(2.8-230),0.00417
ENSG00000206324,25.3,(2.8-230),0.00417
ENSG00000228892,25.3,(2.8-230),0.00417
ENSG00000204310,25.3,(2.8-230),0.00417
ENSG00000227642,25.3,(2.8-230),0.00417
ENSG00000235758,25.3,(2.8-230),0.00417
ENSG00000173171,4.06,(1.5-11),0.00595
ENSG00000142599,0.156,(0.048-0.51),0.00217
ENSG00000141551,0.259,(0.072-0.93),0.038
ENSG00000206428,0.332,(0.12-0.91),0.0322
ENSG00000204472,0.332,(0.12-0.91),0.0322
ENSG00000237727,0.332,(0.12-0.91),0.0322
ENSG00000235985,0.332,(0.12-0.91),0.0322
ENSG00000235588,0.332,(0.12-0.91),0.0322
ENSG00000234836,0.332,(0.12-0.91),0.0322
ENSG00000067704,4.66,(1.7-13),0.00236
ENSG00000158156,51.3,(2.8-950),0.00824
ENSG00000169976,7.16,(1.5-34),0.0139
ENSG00000111269,0.0683,(0.02-0.24),2.31e-05
ENSG00000153037,11.1,(1.9-66),0.00832
ENSG00000143442,5.13,(1.1-24),0.0394
ENSG00000106305,10.8,(2-56),0.00499
ENSG00000010810,0.318,(0.13-0.79),0.0138
