,ENSEMBL,logFC,AveExpr,t,P.Value,adj.P.Val,B
SFTPB,ENSG00000168878,-0.053254433,8.134043495,-0.198019212,0.844314193,0.953363126,-7.300454461
PPP3CB,ENSG00000107758,-0.053282669,9.047987777,-0.202427084,0.840896664,0.951582747,-7.299548703
ROS1,ENSG00000047936,-0.053332897,5.131006409,-0.318207791,0.752446875,0.908694503,-7.268647486
CHRNB4,ENSG00000117971,-0.053345533,4.726192837,-0.306774441,0.761052519,0.912676042,-7.27230745
MAST1,ENSG00000105613,-0.053368453,6.630561311,-0.238135986,0.813332181,0.940176752,-7.291478188
FASTKD5,ENSG00000215251,-0.053493215,8.606742877,-0.154171392,0.878467227,0.960441153,-7.308381019
TBCB,ENSG00000105254,-0.053500435,10.85838499,-0.168039918,0.867636079,0.957396644,-7.306086949
CBARP,ENSG00000099625,-0.053556705,5.055928116,-0.244512434,0.808434383,0.936918172,-7.289899867
CRCP,ENSG00000241258,-0.053655201,7.89789086,-0.290514504,0.773344368,0.918596953,-7.277283177
SLC22A2,ENSG00000112499,-0.053743231,7.089707222,-0.238159637,0.813314001,0.940176752,-7.29147241
RASSF9,ENSG00000198774,-0.053948683,5.37477818,-0.275278766,0.784916388,0.92491214,-7.281700938
RASAL1,ENSG00000111344,-0.054020426,7.951766627,-0.197797873,0.844485884,0.953452219,-7.300499419
PCDHA5,ENSG00000204965,-0.05410558,5.883990722,-0.326247258,0.746414925,0.904885543,-7.265994287
GCKR,ENSG00000084734,-0.05416931,7.548865343,-0.294172703,0.770573588,0.916959024,-7.276187212
SYT5,ENSG00000129990,-0.054208253,5.385038255,-0.340581791,0.735700382,0.900243447,-7.261100497
IDI2-AS1,ENSG00000232656,-0.054350565,5.189497934,-0.254567564,0.800727005,0.933573414,-7.287326588
CPED1,ENSG00000106034,-0.054401456,6.235617874,-0.2632575,0.794082384,0.929573462,-7.28501951
PAEP,ENSG00000122133,-0.054429506,5.585708761,-0.270453504,0.788591887,0.926946745,-7.283050708
LRRC42,ENSG00000116212,-0.054437284,7.654108239,-0.200453447,0.842426488,0.952555604,-7.299956718
STAM,ENSG00000136738,-0.054465512,8.382396329,-0.148021129,0.883278283,0.960863537,-7.309335258
SLC10A1,ENSG00000100652,-0.054543048,7.528497252,-0.187244469,0.852680924,0.954801789,-7.302584782
SORBS2,ENSG00000154556,-0.054574558,7.25491552,-0.226837866,0.822029059,0.943918595,-7.294172688
CHRNA9,ENSG00000174343,-0.054577834,5.41826547,-0.263455203,0.793931394,0.929573462,-7.284966125
NIPAL2,ENSG00000104361,-0.054599569,8.324516407,-0.241802306,0.810515104,0.938121788,-7.290575764
IL1RL1,ENSG00000115602,-0.054608193,7.437515116,-0.31476554,0.75503445,0.90965891,-7.269763395
MAX,ENSG00000125952,-0.054632966,9.621421398,-0.196748239,0.845300183,0.954025387,-7.300711934
KCNC2,ENSG00000166006,-0.054660324,6.02871586,-0.223307681,0.824751232,0.945428833,-7.294987846
MC4R,ENSG00000166603,-0.054668997,6.122102522,-0.202024506,0.841208664,0.951806613,-7.299632253
MICU1,ENSG00000107745,-0.054674968,9.07007877,-0.240556914,0.811471735,0.938995275,-7.290883844
PTP4A3,ENSG00000184489,-0.05470332,7.992630393,-0.246971627,0.806547548,0.93518529,-7.289280058
LCOR,ENSG00000196233,-0.054707005,6.712789359,-0.247982468,0.805772314,0.935025897,-7.289023497
CHAF1A,ENSG00000167670,-0.054832241,8.201948727,-0.203520333,0.840049527,0.951488276,-7.299320977
EPB41L4A-DT,ENSG00000278921,-0.054869308,5.190272498,-0.299123342,0.766828783,0.91646878,-7.274682327
SRPRA,ENSG00000182934,-0.05492812,10.04043606,-0.243524191,0.80919295,0.937418206,-7.290147201
TAF1B,ENSG00000115750,-0.055070124,7.190239849,-0.182900453,0.856059091,0.954801789,-7.303410028
