,ENSEMBL,logFC,AveExpr,t,P.Value,adj.P.Val,B
STUM,ENSG00000203685,-0.412773785,6.664107392,-1.868409332,0.071117401,0.197450346,-5.620728148
HNRNPA0,ENSG00000177733,-0.412821341,9.952625346,-1.48327189,0.148031139,0.337009562,-6.228395647
RFX7,ENSG00000181827,-0.41299247,5.094896357,-2.047858492,0.049067366,0.150941666,-5.299380663
MLST8,ENSG00000167965,-0.413174757,8.362070627,-2.087727422,0.045075684,0.14148729,-5.224915875
MAP4K3,ENSG00000011566,-0.413485138,7.319970324,-0.923640976,0.362759496,0.615258558,-6.888164019
ULK4,ENSG00000168038,-0.41380558,5.65785531,-2.043599185,0.049511681,0.151982194,-5.307271408
HSD11B1,ENSG00000117594,-0.414434785,6.857132056,-1.082184444,0.287461282,0.529438261,-6.729921532
EXOC1,ENSG00000090989,-0.414624135,9.015921864,-1.604792467,0.118612275,0.286368204,-6.049342907
HINFP,ENSG00000172273,-0.415106787,7.636133236,-2.038202786,0.050079693,0.153266109,-5.317250713
CLCA2,ENSG00000137975,-0.415120956,5.422768571,-2.166714044,0.038006546,0.124993299,-5.074217547
NDUFB2-AS1,ENSG00000240889,-0.415256725,6.392072761,-1.456497176,0.155242776,0.347737022,-6.26620821
CNTLN,ENSG00000044459,-0.415264118,6.288180158,-1.701181729,0.09885307,0.251995311,-5.898859375
TCF7L2,ENSG00000148737,-0.415410226,9.604369969,-0.706858983,0.484898565,0.734550326,-7.065908204
RBKS,ENSG00000171174,-0.415775301,7.864203725,-1.733849292,0.092814434,0.240408175,-5.846203726
HYOU1,ENSG00000149428,-0.416163348,11.3346226,-2.014154746,0.052681101,0.15858561,-5.361475892
DUSP3,ENSG00000108861,-0.41621964,9.174988116,-1.779085769,0.084967582,0.226007144,-5.771931113
SYNRG,ENSG00000274047,-0.41624579,9.564064543,-1.537586702,0.134227314,0.313861484,-6.149860657
ENTPD4,ENSG00000197217,-0.416281847,8.855397111,-1.317528925,0.197251899,0.41271129,-6.452706131
TCERG1,ENSG00000113649,-0.416596323,8.870290977,-1.517954195,0.139091426,0.322081617,-6.17852884
CMTM6,ENSG00000091317,-0.416681811,10.88294069,-1.326680815,0.194240115,0.408403024,-6.440934561
MRPS14,ENSG00000120333,-0.41701149,9.588053078,-1.650023015,0.108968115,0.270041524,-5.979644989
RNPS1,ENSG00000205937,-0.41706678,11.07566909,-1.387436528,0.175136641,0.379610577,-6.360952132
MFN1,ENSG00000171109,-0.417479385,7.185263864,-1.52000466,0.13857684,0.321305428,-6.175549501
GPR63,ENSG00000112218,-0.417772126,5.109842754,-2.13091288,0.041078352,0.132470147,-5.143039125
CENPE,ENSG00000138778,-0.41792889,7.600363383,-1.71777885,0.095745157,0.246130671,-5.872210522
ATP2A1,ENSG00000196296,-0.418048405,6.421487963,-1.717488623,0.095798791,0.246180215,-5.872678357
WWP1,ENSG00000123124,-0.418323013,9.935688531,-0.989483363,0.33003632,0.578552781,-6.825296074
SGSM3,ENSG00000100359,-0.418485018,8.006046113,-1.691789787,0.100648881,0.254805268,-5.913844279
SYK,ENSG00000165025,-0.418553786,7.172890221,-1.283891728,0.208629885,0.428596074,-6.495344272
KCNK3,ENSG00000171303,-0.418575289,5.269883814,-1.753424559,0.089346904,0.234135293,-5.814256
THBS4,ENSG00000113296,-0.418983236,7.497014269,-1.837896554,0.075613513,0.207027001,-5.673049389
PRSS3,ENSG00000010438,-0.419123845,7.272020429,-1.792003998,0.082832717,0.221645193,-5.750434481
TRMO,ENSG00000136932,-0.419192063,8.016799373,-1.453513812,0.156063368,0.349083985,-6.270384306
ISLR,ENSG00000129009,-0.419263197,7.037887083,-1.052743179,0.30054135,0.54539729,-6.761074118
PHACTR4,ENSG00000204138,-0.419325789,6.979308876,-1.546028239,0.132178684,0.310235604,-6.137436732
RAPGEF4,ENSG00000091428,-0.419338033,4.322711694,-2.194423881,0.035771352,0.118897636,-5.020370444
MTM1,ENSG00000171100,-0.419444576,5.983398729,-1.44725334,0.157796566,0.351698085,-6.279123376
RBM15,ENSG00000162775,-0.419485004,9.329611587,-1.351464623,0.186261766,0.396987185,-6.408691893
SDF4,ENSG00000078808,-0.419592112,10.15823253,-2.012672374,0.052845265,0.158930134,-5.36418884
PRSS12,ENSG00000164099,-0.419637942,5.007767539,-2.400255102,0.022532341,0.083557432,-4.605134644
VAT1,ENSG00000108828,-0.419723851,10.67754861,-1.704240684,0.098273995,0.250786834,-5.893963934
UNC119,ENSG00000109103,-0.419907472,9.084371544,-2.23474352,0.032728816,0.111600552,-4.941128576
KCNJ4,ENSG00000168135,-0.420371357,5.655263736,-1.871484401,0.070677291,0.196762171,-5.615417043
TNFSF9,ENSG00000125657,-0.420416508,6.255887071,-1.766887784,0.087026065,0.230115608,-5.792112802
GLS,ENSG00000115419,-0.420601236,8.271003612,-2.139097807,0.040357243,0.130802744,-5.127380027
CRNKL1,ENSG00000101343,-0.420893164,8.135819972,-1.014292953,0.318242024,0.564996899,-6.800552763
RFX4,ENSG00000111783,-0.421196214,5.246988978,-2.098950832,0.044005027,0.139100441,-5.203757994
BRD8,ENSG00000112983,-0.421450526,9.359814264,-1.714397326,0.096371631,0.247208933,-5.877657368
EFEMP2,ENSG00000172638,-0.421918212,8.284974191,-1.348104419,0.187328362,0.398253427,-6.413094502
TBC1D31,ENSG00000156787,-0.42239839,6.735451066,-1.09713731,0.280974476,0.520945352,-6.713794398
QSER1,ENSG00000060749,-0.422401547,6.213832554,-2.068016658,0.047011805,0.146060743,-5.261866442
PHACTR2,ENSG00000112419,-0.422620447,9.019703974,-1.589999602,0.121914854,0.292420145,-6.071782278
U2SURP,ENSG00000163714,-0.42293364,9.712382695,-1.194963141,0.241103246,0.471383328,-6.603265797
IFT52,ENSG00000101052,-0.423036785,9.295339497,-1.65011253,0.108949693,0.270041524,-5.979505436
LOC102725532,ENSG00000235059,-0.423079437,4.789206107,-2.277730019,0.029742783,0.103442799,-4.85550025
LOC101929148,ENSG00000235059,-0.423079437,4.789206107,-2.277730019,0.029742783,0.103442799,-4.85550025
FCF1,ENSG00000119616,-0.423115902,5.072032571,-1.695656137,0.09990633,0.253462785,-5.907683836
IQCC,ENSG00000160051,-0.423322975,6.025678099,-2.111727413,0.042813653,0.136631811,-5.179568486
PABPN1,ENSG00000100836,-0.423641375,8.982344677,-1.489813157,0.146310688,0.334234066,-6.219066844
MXD1,ENSG00000059728,-0.424273183,6.135939631,-1.936348563,0.061925365,0.17896905,-5.501776517
IMMT,ENSG00000132305,-0.424376553,9.838725966,-1.644265429,0.110158472,0.272054593,-5.988607659
OCA2,ENSG00000104044,-0.424463278,7.905580176,-1.650405721,0.108889372,0.269943912,-5.97904831
GNAO1,ENSG00000087258,-0.424776177,7.954451248,-1.529467207,0.136222005,0.317644445,-6.161755496
MYO1C,ENSG00000197879,-0.424819939,9.737443872,-1.668062975,0.105307326,0.264125446,-5.951392806
ERBIN,ENSG00000112851,-0.424971407,8.668686417,-1.180407468,0.246756652,0.478130637,-6.620259167
CEP152,ENSG00000103995,-0.425158815,4.847371012,-2.068349585,0.046978503,0.146032005,-5.261244526
GTF2H3,ENSG00000111358,-0.425207211,8.250106663,-1.697864001,0.099484358,0.253064329,-5.9041607
MBIP,ENSG00000151332,-0.425267748,6.352012679,-1.310403074,0.199621656,0.416661137,-6.461821259
NRG2,ENSG00000158458,-0.426221545,6.209373636,-1.99587427,0.054737095,0.16329957,-5.394824165
DLEU2,ENSG00000231607,-0.426241402,6.933028439,-1.465573951,0.152767263,0.34397984,-6.253456703
BCL7B,ENSG00000106635,-0.426375654,8.674111818,-1.37087148,0.180193506,0.386873352,-6.383074288
RGS12,ENSG00000159788,-0.426521777,7.446819292,-1.843257361,0.074806401,0.20538435,-5.663907053
NSFL1C,ENSG00000088833,-0.426617448,9.653087411,-1.460210506,0.154226204,0.34616342,-6.260999883
CEP68,ENSG00000011523,-0.42664612,8.092531533,-1.07869244,0.28899132,0.530792079,-6.733658215
ALDH2,ENSG00000111275,-0.426647845,10.05464823,-1.12081409,0.270917465,0.508311687,-6.687839847
PCGF3,ENSG00000185619,-0.42674766,7.995318222,-1.833031954,0.076352354,0.20862946,-5.681326964
SMARCB1,ENSG00000099956,-0.427110096,9.711471601,-2.107005535,0.043250582,0.137536081,-5.188521097
C1orf56,ENSG00000143443,-0.427477532,5.940381909,-2.230575825,0.033032184,0.112373732,-4.94936802
RALB,ENSG00000144118,-0.427631116,9.07804462,-1.950473428,0.060149257,0.174823266,-5.476626341
UBE2W,ENSG00000104343,-0.427704092,5.856074874,-2.097501047,0.044142051,0.139381105,-5.206495864
POU3F1,ENSG00000185668,-0.427866588,6.149620327,-1.417601193,0.166214197,0.365737598,-6.320066397
ZNF85,ENSG00000105750,-0.427869807,9.510678666,-1.206853905,0.236556317,0.465875557,-6.589242712
LMTK2,ENSG00000164715,-0.428249442,6.142758338,-1.950008846,0.060206963,0.174884568,-5.477455832
YIPF5,ENSG00000145817,-0.42834543,7.173144353,-1.250543523,0.22039574,0.445360396,-6.536636036
FAM106A,ENSG00000273018,-0.428551463,5.503949715,-2.137903623,0.040461747,0.131082155,-5.129667475
GAGE1,ENSG00000205777,-0.428625899,5.377339998,-1.738912818,0.091906798,0.238531518,-5.83796809
MRPL46,ENSG00000259494,-0.429286903,8.589779391,-1.891245441,0.067904573,0.191574056,-5.581120976
FAM76A,ENSG00000009780,-0.429952687,6.453583858,-2.006220292,0.053565027,0.160672656,-5.375979146
TTLL12,ENSG00000100304,-0.43004484,8.8162,-1.821759584,0.078088171,0.211681287,-5.700440047
TENT4A,ENSG00000112941,-0.430073047,9.108840533,-1.934984385,0.062099287,0.179218668,-5.50419793
ATP1A1,ENSG00000163399,-0.430133552,10.65390605,-1.504892116,0.142405804,0.327439907,-6.197426673
CCT7,ENSG00000135624,-0.430232951,10.90370926,-1.820500848,0.078284076,0.212127937,-5.70256842
ZFAND3,ENSG00000156639,-0.43029627,9.223698257,-1.63717964,0.111638194,0.274337794,-5.999601775
MGST3,ENSG00000143198,-0.430482134,10.83853455,-1.200948949,0.238806317,0.468683156,-6.596222394
MECP2,ENSG00000169057,-0.431208558,7.816766453,-1.624694568,0.114285437,0.278882158,-6.018876009
PFKFB3,ENSG00000170525,-0.43198455,8.016100398,-1.468804303,0.151893882,0.342807913,-6.2489019
HAX1,ENSG00000143575,-0.432134517,9.966582461,-1.826043148,0.077424621,0.21055559,-5.69318816
FAM53B,ENSG00000189319,-0.432421515,9.223510827,-1.142166749,0.262071799,0.497446922,-6.663995016
DNAJC24,ENSG00000170946,-0.433522528,7.56862482,-1.596084329,0.120547392,0.289819392,-6.062573666
ABCG2,ENSG00000118777,-0.433630689,6.368145155,-1.685524192,0.101862006,0.257240164,-5.923802726
ALG5,ENSG00000120697,-0.433632327,9.196157882,-1.609787543,0.117513846,0.28482001,-6.041726096
SNTA1,ENSG00000101400,-0.433652873,7.59307724,-2.11323431,0.042675041,0.136250148,-5.176708273
FAM114A1,ENSG00000197712,-0.434176671,8.33668992,-1.608920139,0.117703988,0.285023185,-6.043050207
SRD5A2,ENSG00000277893,-0.43420788,7.06654321,-2.206578714,0.034828523,0.116520643,-4.996592611
LRRC75B,ENSG00000178026,-0.434619756,6.103703932,-1.745363246,0.090761401,0.236243435,-5.827448113
HPSE2,ENSG00000172987,-0.434700622,6.595147455,-1.622791913,0.114693376,0.2795892,-6.021802373
CHD1,ENSG00000153922,-0.434813884,8.606400211,-1.285305778,0.208141732,0.4278386,-6.493571772
SCAF8,ENSG00000213079,-0.43484144,9.365722404,-1.315650217,0.197874572,0.413677377,-6.455113598
NFYA,ENSG00000001167,-0.436111125,8.472316018,-1.508581427,0.141463295,0.325709759,-6.192103373
SH3D21,ENSG00000214193,-0.436163396,7.444021932,-1.674749156,0.103976766,0.261704388,-5.940856433
GCNT3,ENSG00000140297,-0.436391096,7.036239282,-1.828008812,0.077121744,0.20995423,-5.689855783
LIG4,ENSG00000174405,-0.436602783,5.221127585,-1.995516244,0.054778053,0.163361838,-5.395474953
CDC34,ENSG00000099804,-0.436661798,9.826807837,-1.482895777,0.148130552,0.337099286,-6.228930956
CDC42BPB,ENSG00000198752,-0.436818806,8.872752076,-1.940708352,0.061372355,0.17772928,-5.494028925
ATP9B,ENSG00000166377,-0.436949786,7.524610126,-1.924698602,0.06342434,0.181725127,-5.522412013
GNG7,ENSG00000176533,-0.437031784,6.836104597,-2.237654233,0.032518431,0.111092838,-4.935367564
XYLT1,ENSG00000103489,-0.437346078,7.122439153,-1.602271319,0.119169879,0.287375496,-6.053179701
RBM12B,ENSG00000183808,-0.437771143,5.552642184,-1.734520118,0.092693757,0.240225871,-5.845113789
ASAP1,ENSG00000153317,-0.437991741,7.844896878,-1.116930741,0.272549005,0.510463974,-6.692131862
STXBP1,ENSG00000136854,-0.43802372,8.2651393,-1.263371524,0.215811993,0.439381933,-6.520868395
SETBP1,ENSG00000152217,-0.438064808,6.903502116,-1.428938516,0.162954849,0.360726097,-6.304499776
HDAC6,ENSG00000094631,-0.438401836,9.81883405,-1.955700468,0.059503305,0.173403063,-5.467283049
POU4F1,ENSG00000152192,-0.438722945,5.694440052,-1.757078532,0.088711907,0.233153507,-5.808259959
VPS13D,ENSG00000048707,-0.439134227,8.346437688,-1.774286006,0.085772592,0.227472789,-5.779885889
HMG20A,ENSG00000140382,-0.439193916,8.149086521,-1.202488323,0.23821824,0.467913525,-6.594405853
INO80B,ENSG00000115274,-0.439248493,8.093188347,-1.895708878,0.067291443,0.190218797,-5.573334909
ARHGAP26,ENSG00000145819,-0.439384854,8.036603434,-1.153519337,0.257454881,0.491090388,-6.651148965
OR7E19P,ENSG00000225980,-0.439400801,5.436627082,-2.551820676,0.015828783,0.062811031,-4.283117266
STARD3,ENSG00000131748,-0.439469776,7.304189512,-2.183508631,0.036637408,0.121185924,-5.041641444
RTN4,ENSG00000115310,-0.43974939,10.80093802,-1.732670588,0.093026795,0.240784132,-5.848118006
MTMR9,ENSG00000104643,-0.440113631,8.751945453,-1.199763441,0.239259941,0.469252079,-6.597619909
SATB1,ENSG00000182568,-0.440472553,8.20365611,-0.913607136,0.367927526,0.6206043,-6.897385409
DAZAP1,ENSG00000071626,-0.440601787,8.14645972,-1.78997791,0.083164505,0.222184458,-5.753814366
VPS35L,ENSG00000103544,-0.441109939,8.212454103,-2.204968587,0.034952127,0.116879586,-4.99974792
CAV1,ENSG00000105974,-0.44112438,8.015243666,-1.032412475,0.309813201,0.554706154,-6.782119436
MIS18BP1,ENSG00000129534,-0.441133894,5.089122952,-1.508975011,0.141363043,0.325657725,-6.191534807
RYK,ENSG00000163785,-0.441566716,9.11455937,-1.581350033,0.123880589,0.296193052,-6.084821066
SERBP1,ENSG00000142864,-0.441590266,10.84136492,-1.429965466,0.162662126,0.36024507,-6.30308436
MCAT,ENSG00000100294,-0.441624533,7.584158991,-2.044093401,0.049459946,0.151888462,-5.306356473
S1PR2,ENSG00000267534,-0.441895429,5.791229198,-2.406756461,0.022198401,0.082768901,-4.591595845
MOCS3,ENSG00000124217,-0.442087816,7.290649109,-2.009753585,0.053169815,0.159754723,-5.369526142
ZHX3,ENSG00000174306,-0.442100862,7.130291349,-1.357561793,0.184338426,0.393634083,-6.400678384
PLIN3,ENSG00000105355,-0.442208053,9.486251984,-1.986484126,0.055820223,0.165497201,-5.411862885
PTCH1,ENSG00000185920,-0.442590645,8.620656134,-1.196013518,0.24069901,0.470978576,-6.602032156
GNAL,ENSG00000141404,-0.442923431,6.777428081,-1.287657435,0.207331826,0.42733857,-6.490620105
ZNF571,ENSG00000180479,-0.443722195,5.895967058,-1.086569849,0.285547926,0.527134274,-6.725212985
GSTK1,ENSG00000197448,-0.443758123,9.159908352,-1.340071371,0.189897372,0.401392454,-6.423580038
AOC1,ENSG00000002726,-0.443840089,5.810147665,-2.511843526,0.017391361,0.067994766,-4.369328287
PRPH2,ENSG00000112619,-0.443890312,7.671469186,-1.621232977,0.115028515,0.280075376,-6.024197927
KCNMB3,ENSG00000171121,-0.444331677,6.827407868,-2.012110688,0.052907586,0.159033522,-5.365216403
TCP1,ENSG00000120438,-0.444573944,11.30678901,-1.010937246,0.319820164,0.566535187,-6.803933076
RIOK2,ENSG00000058729,-0.445131637,8.159150712,-1.640966319,0.11084539,0.273515343,-5.993731432
DSG1,ENSG00000134760,-0.445188334,4.815478999,-2.257762977,0.031097856,0.107064194,-4.895419912
TMEM39B,ENSG00000121775,-0.445625261,8.042940994,-1.705011693,0.098128488,0.25050474,-5.892728888
PAFAH1B2,ENSG00000168092,-0.446075138,6.336155285,-2.430695946,0.021007294,0.078902627,-4.541527203
CRTAC1,ENSG00000095713,-0.446242455,6.594536926,-1.973637581,0.057332331,0.168466789,-5.43507246
AAK1,ENSG00000115977,-0.446246914,7.142722579,-1.565497135,0.127550666,0.302294656,-6.108561214
COG4,ENSG00000103051,-0.446336638,8.60565745,-1.791431154,0.082926411,0.221730275,-5.751390404
BABAM2,ENSG00000158019,-0.446603032,9.083672496,-1.947600414,0.06050689,0.175684544,-5.481753505
TXNL4B,ENSG00000140830,-0.446671858,8.127661737,-2.099302156,0.043971879,0.139100441,-5.203094316
PTGES,ENSG00000148344,-0.44671909,7.719054325,-1.876319372,0.069990036,0.195439998,-5.607052249
BTNL3,ENSG00000168903,-0.446905977,7.688308275,-1.645536104,0.109894843,0.271637607,-5.986631898
WBP11,ENSG00000084463,-0.446974427,10.34864983,-1.052798957,0.300516182,0.54539729,-6.761015854
ATP5F1E,ENSG00000124172,-0.447017766,11.0357778,-1.585060645,0.123034146,0.294562453,-6.079234912
ZNF395,ENSG00000186918,-0.447024495,8.625282021,-1.179918222,0.246948352,0.47837271,-6.620827043
TMEM70,ENSG00000175606,-0.447232752,9.919496775,-1.26080121,0.216724614,0.440739,-6.524039357
PACS1,ENSG00000175115,-0.447714178,6.815857501,-2.03318978,0.050612473,0.153910178,-5.326502963
REEP4,ENSG00000168476,-0.447826885,9.117580819,-1.697930865,0.099471602,0.253064329,-5.904053944
WIPI1,ENSG00000070540,-0.448123961,6.512879692,-1.531721723,0.135665753,0.316604981,-6.158458119
ZSCAN31,ENSG00000235109,-0.448130412,5.826250691,-2.039082998,0.049986655,0.153141514,-5.315624353
ARHGAP5,ENSG00000100852,-0.448353779,8.48216517,-1.298947245,0.203476999,0.421698281,-6.476382316
ZNF345,ENSG00000251247,-0.448556262,4.950217326,-2.04670692,0.049187146,0.151212748,-5.301515289
PGRMC1,ENSG00000101856,-0.448633176,9.500067064,-0.939879872,0.354496982,0.605939074,-6.873038129
DAXX,ENSG00000204209,-0.449231466,8.953516888,-1.189771425,0.243108633,0.473761837,-6.609348805
SMIM40,ENSG00000204209,-0.449231466,8.953516888,-1.189771425,0.243108633,0.473761837,-6.609348805
PTPRG,ENSG00000144724,-0.449382473,7.477922572,-1.106508008,0.276962797,0.516260841,-6.703583435
RERE,ENSG00000142599,-0.449413363,9.842707343,-1.528158379,0.136545775,0.318192294,-6.163667826
NDUFV2,ENSG00000178127,-0.44945505,9.922627931,-1.992409091,0.055134636,0.164212057,-5.40111908
MAP3K4,ENSG00000085511,-0.449568482,9.591156664,-1.433606428,0.161627652,0.35835565,-6.298058942
GRAMD2B,ENSG00000155324,-0.44959795,5.277704859,-2.527153586,0.016776896,0.065908663,-4.33641785
ERCC1,ENSG00000012061,-0.449697611,8.564576912,-1.778324672,0.085094803,0.226295748,-5.773193667
KDSR,ENSG00000119537,-0.449705211,7.47028855,-2.055941904,0.048233771,0.148948606,-5.284371028
DHX40,ENSG00000108406,-0.449756029,8.313423685,-1.279635417,0.210104481,0.430884086,-6.50066893
DNAH2,ENSG00000183914,-0.450035158,6.730098543,-1.51733131,0.139248051,0.322340117,-6.179433211
STYXL1,ENSG00000127952,-0.450232311,8.925434843,-1.696165903,0.09980877,0.253410944,-5.906870729
SDAD1,ENSG00000198301,-0.450265975,9.104249328,-1.530766479,0.135901214,0.316999592,-6.159855736
APTX,ENSG00000137074,-0.450281179,8.288564498,-1.807988402,0.080254383,0.216466871,-5.723660827
RIOK3,ENSG00000101782,-0.450377094,9.400358051,-1.702889422,0.098529444,0.251304451,-5.896127344
RGSL1,ENSG00000121446,-0.450603928,6.932964423,-1.763138117,0.087667264,0.231298882,-5.798293869
C6,ENSG00000039537,-0.450777601,6.562757003,-1.925352761,0.063339345,0.18159053,-5.521255899
PRR15L,ENSG00000167183,-0.45083331,7.262986593,-2.979766174,0.005545688,0.026864151,-3.308134454
GRP,ENSG00000134443,-0.45088537,6.500847302,-1.378783713,0.177764093,0.38349619,-6.372537047
STX17,ENSG00000136874,-0.451084002,6.298903626,-1.942391022,0.06116007,0.177221969,-5.491035074
VPS28,ENSG00000160948,-0.451252818,9.732879941,-2.228680816,0.033170954,0.112685302,-4.953110732
HBP1,ENSG00000105856,-0.451322728,9.17011382,-1.364822114,0.182068322,0.389672441,-6.391094383
H1-6,ENSG00000187475,-0.45147472,7.15547798,-2.189856349,0.036131506,0.119733659,-5.029280835
SERPINB3,ENSG00000057149,-0.451478372,6.414887698,-2.332498159,0.026294976,0.094148105,-4.744724169
ZNF267,ENSG00000185947,-0.451831689,7.071378504,-1.087318001,0.285222411,0.526669062,-6.724407943
SIRT7,ENSG00000187531,-0.452119169,7.987387234,-2.029399954,0.051018551,0.154751233,-5.333486081
SYN1,ENSG00000008056,-0.452128262,7.316418883,-1.981936992,0.056351417,0.166548384,-5.420091446
POLR3G,ENSG00000113356,-0.452540782,6.102225308,-1.227207647,0.228921299,0.456155375,-6.564945953
DHX29,ENSG00000067248,-0.452637657,7.75695779,-1.348869041,0.187085241,0.397934189,-6.412093535
PPP1R3C,ENSG00000119938,-0.452964023,7.03475976,-1.710863681,0.097029958,0.248319748,-5.883339761
DNM3,ENSG00000197959,-0.453351908,5.556103337,-1.765737155,0.087222401,0.230592211,-5.794010677
CHD5,ENSG00000116254,-0.453477721,6.654100539,-1.880101727,0.069456419,0.194458974,-5.600496566
TTC1,ENSG00000113312,-0.453645677,9.102110499,-1.873584671,0.070378043,0.196043348,-5.611785561
RIMBP2,ENSG00000060709,-0.453873046,5.714238798,-2.145447177,0.039805623,0.129600778,-5.115201933
NELFCD,ENSG00000101158,-0.453989245,9.879283483,-2.211340235,0.034465286,0.115710657,-4.987251807
POM121L2,ENSG00000158553,-0.454023634,6.970459205,-1.985310318,0.055956926,0.165662561,-5.413988424
RYR3,ENSG00000198838,-0.454332041,4.868684287,-2.198218672,0.035474575,0.118048116,-5.012957201
UTP11,ENSG00000183520,-0.454419261,9.152340474,-1.345716607,0.188089172,0.39916021,-6.416217138
GCC1,ENSG00000179562,-0.454497493,8.32143747,-2.088038513,0.0450457,0.141428236,-5.22433057
EZH1,ENSG00000108799,-0.454687243,8.356387397,-1.875636683,0.070086725,0.195574038,-5.608234385
HEY2,ENSG00000135547,-0.454847588,6.248979765,-2.149651607,0.039444051,0.128687116,-5.107123105
MARCHF7,ENSG00000136536,-0.455260606,8.287925194,-1.067193054,0.294070463,0.537809274,-6.74588409
RASIP1,ENSG00000105538,-0.455281706,7.964232933,-2.224965978,0.033444509,0.113292286,-4.96044099
PSEN1,ENSG00000080815,-0.455355213,9.279725705,-1.346057391,0.187980444,0.399154889,-6.415771782
CYP2J2,ENSG00000134716,-0.455469131,6.250413796,-1.956940696,0.059350928,0.173029388,-5.465063287
ARHGAP17,ENSG00000140750,-0.455478339,9.8439324,-2.404084789,0.022335081,0.083066892,-4.597162527
HADHA,ENSG00000084754,-0.455720076,9.605195327,-1.990926098,0.055305542,0.164618427,-5.40381053
CLCN4,ENSG00000073464,-0.455735651,6.275829488,-1.825480802,0.077511457,0.210671787,-5.694140971
RAB2A,ENSG00000104388,-0.455847477,10.07917074,-1.492456037,0.145620138,0.332948931,-6.215287621
EFCAB14,ENSG00000159658,-0.45632593,10.23042258,-1.772317443,0.086104621,0.22810004,-5.783143372
CDK5R1,ENSG00000176749,-0.456637812,6.762000678,-1.659065818,0.107120101,0.267222132,-5.965515301
ZDHHC8BP,ENSG00000290920,-0.456664693,6.064214257,-2.781778218,0.009089779,0.039745937,-3.770518933
SH2B1,ENSG00000178188,-0.456724642,7.934758005,-2.027159337,0.051259976,0.155319137,-5.337609942
HACD2,ENSG00000206527,-0.456840265,9.130648818,-1.045664194,0.303747495,0.5476781,-6.768445339
SPATS2L,ENSG00000196141,-0.456900866,9.284519467,-1.391621661,0.173876763,0.377955117,-6.355325852
HSPB3,ENSG00000169271,-0.456933485,6.416413639,-1.737681751,0.092126776,0.238972588,-5.839972194
FTCD,ENSG00000160282,-0.456996713,7.392521764,-1.706652504,0.09781943,0.249938413,-5.890099004
CTSV,ENSG00000136943,-0.457028554,10.59798234,-0.717847485,0.478190571,0.729168106,-7.057993631
TRIM44,ENSG00000166326,-0.457482109,8.804083723,-2.029293813,0.051029965,0.154753095,-5.333681512
RFPL3,ENSG00000128276,-0.457831934,7.516969291,-1.857941576,0.072633265,0.200609493,-5.638755242
BTAF1,ENSG00000095564,-0.457844755,8.452633071,-1.773516298,0.085902286,0.227750165,-5.781159916
DDX28,ENSG00000182810,-0.457953658,7.684566972,-1.814644187,0.079201114,0.214126937,-5.712455713
XYLT2,ENSG00000015532,-0.457975406,7.238227474,-1.704315774,0.098259816,0.250786834,-5.893843671
RPAP3,ENSG00000005175,-0.45797592,6.632139782,-1.395382748,0.172750604,0.375963458,-6.350256878
HSPB6,ENSG00000004776,-0.458276783,7.426417998,-1.835680005,0.075949403,0.207647205,-5.676823244
MSRB1,ENSG00000198736,-0.459137296,9.124264182,-2.870107298,0.007304492,0.033269568,-3.566506532
TRAPPC14,ENSG00000146826,-0.459145034,8.268213501,-1.597560769,0.120217485,0.289171672,-6.060334725
REC8,ENSG00000100918,-0.459198436,9.274949918,-1.13653933,0.264382494,0.50004445,-6.670319436
COX6C,ENSG00000164919,-0.459347521,11.87506061,-1.545629359,0.132274911,0.310308972,-6.1380251
TUBB3,ENSG00000258947,-0.459409253,11.19137444,-1.695070058,0.100018594,0.25370268,-5.908618416
NDC80,ENSG00000080986,-0.459896721,7.478462247,-1.238748913,0.224674496,0.451017212,-6.551005041
TOX4,ENSG00000092203,-0.459930511,9.728265427,-1.504756596,0.142440521,0.327455516,-6.197622001
PLA2G4A,ENSG00000116711,-0.459984742,4.438990974,-2.05667888,0.048158395,0.148848501,-5.283000342
LTBR,ENSG00000111321,-0.460326454,7.364262699,-2.506825921,0.0175972,0.068537721,-4.380085324
JAKMIP2,ENSG00000176049,-0.46037068,5.691684856,-1.987598293,0.055690736,0.165427447,-5.409844445
ABI2,ENSG00000138443,-0.460492449,8.484944671,-2.194219842,0.035787372,0.118900066,-5.020768777
EMSY,ENSG00000158636,-0.460849334,5.166965817,-2.564781633,0.015350642,0.061321258,-4.254975755
OSBPL11,ENSG00000144909,-0.460872625,8.323211775,-1.384697724,0.17596498,0.381106741,-6.364625938
TCF12,ENSG00000140262,-0.460932408,9.280621563,-1.398479914,0.17182754,0.374760306,-6.34607364
PSMC1,ENSG00000100764,-0.461567627,11.29916471,-1.994475373,0.05489728,0.16360714,-5.397366447
VPS11,ENSG00000160695,-0.461839828,8.040228841,-2.92460311,0.006373399,0.029913014,-3.438793616
OSBPL9,ENSG00000117859,-0.462036634,9.747572416,-1.300687971,0.202887539,0.420745124,-6.474177132
CCS,ENSG00000173992,-0.462206718,8.585189,-1.751353653,0.089708492,0.23482517,-5.817649739
AIDA,ENSG00000186063,-0.462459127,8.565746571,-1.081162041,0.287908658,0.529990129,-6.731016733
DCTN1,ENSG00000204843,-0.462810225,9.820706248,-1.646671072,0.109659812,0.271243819,-5.984866062
STXBP3,ENSG00000116266,-0.463080106,7.491295097,-0.968198721,0.34038862,0.590273331,-6.846065122
