"cancer_type","dataset","event","ENSEMBL","KM_median_HR","KM_median_p","KM_median_lower","KM_median_upper","KM_optimal_HR","KM_optimal_p","KM_optimal_lower","KM_optimal_upper"
"TGCT","GSE10783_96","OS","ENSG00000184203",0.349314785321029,0.111588280507234,0.0900750115404173,1.35465782526295,0.159100560916791,0.00264002186426832,0.040648620141273,0.622726882144165
"TGCT","GSE10783_96","OS","ENSG00000173599",2.46836890944155,0.176077085076669,0.637543075998203,9.55675828422744,6.46423192106569,0.0418536805007843,0.817452490767858,51.117703843649
"TGCT","GSE10783_96","OS","ENSG00000143995",1.06707669421028,0.918286074217533,0.308634195570312,3.68932764959073,1.95863198277978,0.321381809065745,0.50586611021385,7.58350711089566
"TGCT","GSE10783_96","OS","ENSG00000014824",2.652649799073,0.142218292374677,0.684509976507323,10.2796908708704,4.09500169008947,0.0273414207589377,1.05482684646947,15.8974327378583
"TGCT","GSE10783_96","OS","ENSG00000163069",4.3914320706434,0.0411142197656912,0.930524113343053,20.7245307827566,5.84580000866622,0.0116101126672289,1.23695926927015,27.6269223977645
"TGCT","GSE10783_96","OS","ENSG00000162300",2.61940249359799,0.147711338990603,0.676180249570753,10.1471012024131,4.72775755488533,0.0135895536401669,1.21574684234771,18.3851528288672
"TGCT","GSE10783_96","OS","ENSG00000134597",1.65575872897495,0.43035932466198,0.466601154882768,5.87554689886169,2.19742125313931,0.211838362331028,0.618544512672996,7.80648775442469
"TGCT","GSE10783_96","OS","ENSG00000159961",1.06861205859583,0.916482657093261,0.309076598449441,3.69465607394803,1.60478622697654,0.45068739540181,0.464166347421908,5.54831010175049
"TGCT","GSE10783_96","OS","ENSG00000184613",0.659014382784998,0.515574095295759,0.185785490169582,2.33764195643626,0.230951179225817,0.0137743689931441,0.0648056516165446,0.823052401376953
"TGCT","GSE10783_96","OS","ENSG00000139219",1.08009008441268,0.903071133726114,0.312481325772202,3.73332578375268,2.67431693316607,0.106856895262848,0.771093040808448,9.27510777625529
"TGCT","GSE10783_96","OS","ENSG00000141449",4.86102968664941,0.0272518996547459,1.02928614477551,22.9572794061465,6.27775051932073,0.00265954629537736,1.60395678784113,24.570581877007
"TGCT","GSE10783_96","OS","ENSG00000163737",2.95986956925514,0.100210384169738,0.762041508453277,11.4965231812432,4.41481880685035,0.0404611477020642,0.934613404015486,20.8542109642124
"TGCT","GSE10783_96","OS","ENSG00000104490",0.905819274678414,0.875815312030414,0.261850257274884,3.13350296813945,0.594149735915819,0.415770336854931,0.167198112048409,2.11135104555863
"TGCT","GSE10783_96","OS","ENSG00000008300",0.670588683383571,0.533506836805943,0.189045057044128,2.37874075796197,0.50734578967622,0.284476519202982,0.142990635960138,1.80011613049923
"TGCT","GSE10783_96","OS","ENSG00000126838",0.411945011221157,0.185727768253776,0.106128362518255,1.59899472905566,0.126383072105561,0.0201878624289224,0.0159636271893873,1.00056714713672
"TGCT","GSE10783_96","OS","ENSG00000125633",0.415579466890842,0.189626618951915,0.107276883139377,1.60991155081279,0.358825579229815,0.0989400643333103,0.100747520985747,1.27800461043432
